Date,XLE,XLB,XLI,XLY,XLP,XLV,XLF,XLK,XLU,XLRE,SP500
12/30/2016,75.32,49.7,62.22,81.4,51.71,68.94,23.25,48.36,48.57,30.75,2238.83
1/31/2017,72.9,51.96,63.38,84.83,52.59,70.52,23.31,50.08,49.18,30.71,2278.87
2/28/2017,71.38,52.25,65.86,86.37,55.1,74.99,24.54,52.35,51.77,32.14,2363.64
3/31/2017,69.9,52.41,65.06,87.95,54.58,74.36,23.73,53.31,51.31,31.6,2362.72
4/28/2017,67.84,53.07,66.34,90.06,55.18,75.5,23.53,54.38,51.7,31.65,2384.2
5/31/2017,65.44,53.08,67.52,91.05,56.64,76.08,23.25,56.53,53.84,31.86,2411.8
6/30/2017,64.92,53.81,68.11,89.63,54.94,79.24,24.67,54.72,51.96,32.2,2423.41
7/31/2017,66.62,54.64,68.31,91.36,55.32,79.89,25.09,57.16,53.22,32.59,2470.3
8/31/2017,62.97,55.07,68.46,89.66,54.71,81.29,24.7,58.83,54.97,32.92,2471.65
9/29/2017,68.48,56.8,71,90.08,53.98,81.73,25.86,59.1,53.05,32.24,2519.36
10/31/2017,67.91,59,71.53,91.99,53.09,81.11,26.6,62.95,55.12,32.5,2575.26
11/30/2017,69.1,59.56,74.51,96.65,56.05,83.47,27.52,63.84,56.6,33.45,2647.58
12/29/2017,72.26,60.53,75.67,98.69,56.89,82.68,27.91,63.95,52.68,32.94,2673.61
