Date,Closing price
11/27/2017,$67.19
11/28/2017,$67.71
11/29/2017,$68.08
11/30/2017,$69.10
12/1/2017,$69.68
12/4/2017,$69.65
12/5/2017,$69.35
12/6/2017,$68.45
12/7/2017,$68.65
12/8/2017,$69.28
12/11/2017,$69.78
12/12/2017,$69.59
12/13/2017,$69.49
12/14/2017,$69.24
12/15/2017,$68.72
12/18/2017,$69.25
12/19/2017,$69.35
12/20/2017,$70.33
12/21/2017,$71.82
12/22/2017,$71.97
12/26/2017,$72.60
12/27/2017,$72.36
12/28/2017,$72.47
12/29/2017,$72.26
1/2/2018,$73.45
1/3/2018,$74.55
1/4/2018,$75.00
1/5/2018,$74.97
1/8/2018,$75.42
1/9/2018,$75.23
1/10/2018,$75.14
1/11/2018,$76.68
1/12/2018,$77.42
1/16/2018,$76.44
1/17/2018,$77.11
1/18/2018,$76.48
1/19/2018,$76.38
1/22/2018,$78.03
1/23/2018,$77.91
1/24/2018,$77.70
1/25/2018,$77.09
1/26/2018,$77.51
1/29/2018,$76.34
1/30/2018,$74.80
1/31/2018,$74.85
2/1/2018,$75.62
2/2/2018,$72.46
2/5/2018,$69.42
2/6/2018,$69.97
2/7/2018,$68.80
2/8/2018,$66.72
2/9/2018,$66.67
2/12/2018,$67.76
2/13/2018,$67.48
2/14/2018,$68.46
2/15/2018,$68.29
2/16/2018,$68.12
2/20/2018,$67.75
2/21/2018,$66.61
2/22/2018,$67.34
2/23/2018,$68.80
2/26/2018,$69.21
2/27/2018,$68.31
2/28/2018,$66.74
3/1/2018,$66.64
3/2/2018,$66.95
3/5/2018,$67.66
3/6/2018,$67.70
3/7/2018,$67.19
3/8/2018,$67.17
3/9/2018,$68.45
3/12/2018,$68.43
3/13/2018,$67.94
3/14/2018,$67.54
3/15/2018,$67.19
3/16/2018,$67.31
3/19/2018,$66.27
3/20/2018,$66.83
3/21/2018,$68.58
3/22/2018,$67.18
3/23/2018,$66.77
3/26/2018,$67.97
3/27/2018,$67.33
3/28/2018,$66.02
