Date,XLE,XLI,S&P500
11/27/2017,67.19,71.53,2601.419922
11/28/2017,67.71,72.62,2627.040039
11/29/2017,68.08,73.26,2626.070068
11/30/2017,69.1,74.51,2647.580078
12/1/2017,69.68,73.59,2642.219971
12/4/2017,69.65,74.21,2639.439941
12/5/2017,69.35,73.58,2629.570068
12/6/2017,68.45,73.69,2629.27002
12/7/2017,68.65,74.37,2636.97998
12/8/2017,69.28,74.69,2651.5
12/11/2017,69.78,74.54,2659.98999
12/12/2017,69.59,74.62,2664.110107
12/13/2017,69.49,74.91,2662.850098
12/14/2017,69.24,74.4,2652.01001
12/15/2017,68.72,74.52,2675.810059
12/18/2017,69.25,75.05,2690.159912
12/19/2017,69.35,75.07,2681.469971
12/20/2017,70.33,75.32,2679.25
12/21/2017,71.82,75.38,2684.570068
12/22/2017,71.97,75.4,2683.340088
12/26/2017,72.6,75.48,2680.5
12/27/2017,72.36,75.66,2682.620117
12/28/2017,72.47,75.81,2687.540039
12/29/2017,72.26,75.67,2673.610107
1/2/2018,73.45,76.12,2695.810059
1/3/2018,74.55,76.53,2713.060059
1/4/2018,75,77.09,2723.98999
1/5/2018,74.97,77.62,2743.149902
1/8/2018,75.42,77.94,2747.709961
1/9/2018,75.23,78.44,2751.290039
1/10/2018,75.14,78.43,2748.22998
1/11/2018,76.68,79.43,2767.560059
1/12/2018,77.42,80.17,2786.23999
1/16/2018,76.44,79.45,2776.419922
1/17/2018,77.11,79.89,2802.560059
1/18/2018,76.48,79.46,2798.030029
1/19/2018,76.38,79.69,2810.300049
1/22/2018,78.03,79.69,2832.969971
1/23/2018,77.91,79.73,2839.129883
1/24/2018,77.7,79.66,2837.540039
1/25/2018,77.09,79.74,2839.25
1/26/2018,77.51,80.66,2872.870117
1/29/2018,76.34,80.12,2853.530029
1/30/2018,74.8,79.49,2822.429932
1/31/2018,74.85,79.73,2823.810059
2/1/2018,75.62,79.59,2821.97998
2/2/2018,72.46,77.99,2762.129883
2/5/2018,69.42,74.45,2648.939941
2/6/2018,69.97,75.81,2695.139893
2/7/2018,68.8,75.95,2681.659912
2/8/2018,66.72,73.02,2581
2/9/2018,66.67,73.81,2619.550049
2/12/2018,67.76,75,2656
2/13/2018,67.48,75.17,2662.939941
2/14/2018,68.46,76.12,2698.629883
2/15/2018,68.29,77.27,2731.199951
2/16/2018,68.12,77.29,2732.219971
2/20/2018,67.75,76.51,2716.26001
2/21/2018,66.61,76.53,2701.330078
2/22/2018,67.34,77.04,2703.959961
2/23/2018,68.8,77.68,2747.300049
2/26/2018,69.21,78.75,2779.600098
2/27/2018,68.31,77.76,2744.280029
2/28/2018,66.74,76.65,2713.830078
3/1/2018,66.64,75.15,2677.669922
3/2/2018,66.95,75.13,2691.25
3/5/2018,67.66,76.03,2720.939941
3/6/2018,67.7,76.37,2728.120117
3/7/2018,67.19,76.36,2726.800049
3/8/2018,67.17,76.76,2738.969971
3/9/2018,68.45,78.45,2786.570068
3/12/2018,68.43,77.48,2783.02002
3/13/2018,67.94,77.1,2765.310059
3/14/2018,67.54,76.26,2749.47998
3/15/2018,67.19,76.48,2747.330078
3/16/2018,67.31,76.58,2752.01001
3/19/2018,66.27,75.99,2712.919922
3/20/2018,66.83,76.25,2716.939941
3/21/2018,68.58,76.34,2711.929932
3/22/2018,67.18,73.82,2643.689941
3/23/2018,66.77,72.74,2588.26001
3/26/2018,67.97,74.5,2658.550049
3/27/2018,67.33,73.47,2612.620117
3/28/2018,66.02,73.22,2605
3/29/2018,67.41,74.29,2640.870117
4/2/2018,66.06,72.76,2581.879883
4/3/2018,67.47,73.77,2614.449951
4/4/2018,67.38,74.09,2644.689941
4/5/2018,68.59,74.84,2662.840088
4/6/2018,67.35,72.77,2604.469971
4/9/2018,67.67,72.55,2613.159912
4/10/2018,69.91,73.66,2656.870117
4/11/2018,70.64,73.12,2642.189941
4/12/2018,70.63,74.17,2663.98999
4/13/2018,71.41,73.99,2656.300049
4/16/2018,72.14,74.73,2677.840088
4/17/2018,72.42,75.36,2706.389893
4/18/2018,73.56,76.14,2708.639893
4/19/2018,73.65,75.93,2693.129883
4/20/2018,73.3,75.6,2670.139893
4/23/2018,73.75,75.51,2670.290039
4/24/2018,72.96,73.4,2634.560059
4/25/2018,73.54,73.61,2639.399902
4/26/2018,74.61,73.34,2666.939941
4/27/2018,73.82,73.19,2669.909912
4/30/2018,73.81,72.22,2648.050049
5/1/2018,73.36,71.89,2654.800049
5/2/2018,73.66,71.26,2635.669922
5/3/2018,73.49,71.43,2629.72998
5/4/2018,73.85,72.26,2663.419922
5/7/2018,73.95,72.74,2672.629883
5/8/2018,74.53,73.26,2671.919922
5/9/2018,76.05,74.05,2697.790039
5/10/2018,76.62,74.55,2723.070068
5/11/2018,76.73,74.71,2727.719971
5/14/2018,77.26,74.58,2730.129883
5/15/2018,77.28,74.33,2711.449951
5/16/2018,77.55,74.6,2722.459961
5/17/2018,78.72,74.89,2720.129883
5/18/2018,78.11,75.33,2712.969971
5/21/2018,78.91,76.47,2733.01001
5/22/2018,77.86,75.53,2724.439941
5/23/2018,77.85,75.46,2733.290039
5/24/2018,76.57,75.83,2727.76001
5/25/2018,74.58,75.69,2721.330078
5/29/2018,74.35,74.48,2689.860107
5/30/2018,76.6,75.53,2724.01001
5/31/2018,76.02,74.44,2705.27002
6/1/2018,76.38,75.26,2734.620117
6/4/2018,75.72,75.15,2746.870117
6/5/2018,75.54,75.24,2748.800049
6/6/2018,75.9,75.87,2772.350098
6/7/2018,77.05,76.19,2770.370117
6/8/2018,76.9,76.44,2779.030029
6/11/2018,77.3,76.59,2782
6/12/2018,76.71,76.51,2786.850098
6/13/2018,76.42,75.9,2775.629883
6/14/2018,76.31,75.61,2782.48999
6/15/2018,74.17,75.12,2779.659912
6/18/2018,74.91,74.81,2773.75
6/19/2018,74.74,73.23,2762.590088
6/20/2018,75.07,73.28,2767.320068
6/21/2018,73.68,72.36,2749.76001
6/22/2018,75.15,72.61,2754.879883
6/25/2018,73.64,71.69,2717.070068
6/26/2018,74.57,71.96,2723.060059
6/27/2018,75.57,71.38,2699.629883
6/28/2018,75.47,71.48,2716.310059
6/29/2018,75.94,71.63,2718.370117
7/2/2018,74.82,71.79,2726.709961
7/3/2018,75.29,71.56,2713.219971
7/5/2018,75.21,71.91,2736.610107
7/6/2018,75.67,72.16,2759.820068
7/9/2018,76.8,73.5,2784.169922
7/10/2018,77.37,73.73,2793.840088
7/11/2018,75.73,72.52,2774.02002
7/12/2018,75.86,73.37,2798.290039
